wallet,wallet_type,n_participations,pnl
0x971e6b34ec439f74a6641388789a941670c0751f,bot,139,88723.98883199997
0xea3e6f02d7f92db8a92d71e480a0649c17aa5f21,sophisticated,256,2565.476182999996
0x5c814e0948a367b28dffc4153700ef94b26ae258,bot,2932,-12988.61099600009
0xd640fb11e41ff43f913d03aa140046893b123048,active_retail,150,-0.5159369999994396
0x41e57d90b0877024e32433a3a717fcc54e74da8f,bot,273,4441.920944999999
0xc3b351309207db151c07c4a1d705b2113ba241c8,active_retail,160,456.16744499999993
0xdf8e8ffc46c7f7d98e000f92e669b6950d6246ea,bot,4599,19047.44998700004
0x4e24f3b794d3c6fa6283cea1565f4870b5c62797,bot,312,163267.00595
0x5a181dcf3eb53a09fb32b20a5a9312fb8d26f689,bot,1896,397462.9538110001
0x1275f7008da638fecd12581ad451a864df5ae518,active_retail,183,161142.98566300003
0x32a8f6cfe4e4a3638be3800ca8910b9e2ef38a8e,bot,132,-18765.882556999997
0x973faa4db3b0529bf1e1b7e0c78d96d405a9b68d,active_retail,119,158051.94649000003
0x95ff295d3236e66c63ac9d8dd4001dfe492d28c0,active_retail,158,661.2626709999997
0x8b666b337ec832bfadd0e12cfed9938cc6e84855,active_retail,217,-10.342939999998663
0xf27c9f24107181794d088ee603ab063d8e076e4b,active_retail,276,112.96547200000168
0x066d64fa7b2e352b9000a51c6b56f53128cce6e6,bot,2361,55404.140886000016
0x110fbd0fe39eb16204e7f90e956cc995a64f8f39,bot,2442,50400.216770000035
0x3ee799c9502a22bb7159b4eaa03702d2f993dffd,sophisticated,134,16632.176429999996
0x0f94a1e6b27dc0e3578556ba135c5f894319d3dc,sophisticated,291,-1925.4165820000012
0x3f82a6cae57f9b3f6786730d766dfe12a21724bf,bot,5780,13990.890357000033
0xe426550455bc63ae1c9a977d529c9605e02445b4,bot,404,31782.717706000003
0xbb3d223b399fc24e7a9fe058ffea5e221c0df8ac,bot,185,92482.87167899997
0xfb6c794b6bf17e40ff7b30ac233f6528be9b11a1,active_retail,150,-1114.452392999998
0xa3c5721a107e0908bc552b7f90230d85954ec91c,sophisticated,178,1911.390162
0x3657862e57070b82a289b5887ec943a7c2166b14,bot,13813,-1892087.9721610127
0x94b7912a2800bbda45dd814abe24204fba07a598,active_retail,190,102.19533000000085
0x8e80b474de55b641a4845fd9e869150c208159e8,bot,1711,103810.1294109999
0xc3ee1d9de590858ee7736a66bcf29b466714a22f,bot,372,4481.563730000242
0x83e6db85abbf43206a048fbd1a0df9760d492488,active_retail,235,3043.8377099999993
0xc452f7ef7c781e4a1700d2f951b4d2404c133ef5,sophisticated,337,-301.9651549999918
0x95145d5f8b1d2778cb5d137069de851227812d97,bot,239,-1018.6660939999996
0x8b5ebfb5810a77559e5d7fe30665f3816f1b1a93,active_retail,403,90623.56197200001
0x9b379ab677fd2c739a50aec7625467358caf3b3e,bot,96,24565.398172999998
0x1875992db5182b59ba8869199a6990e532a7acf7,active_retail,216,10924.368365999999
0x7c9c57a1b83dc2adb6dde4436050c5767d0c17f3,active_retail,124,11908.232276000002
0x9b585fde853cd7e8b11a57ab1c5367068ea6c9c8,bot,3286,17698.807481999997
0xbc3bb18ee85a87b025e6eef3c3e2b2b6d0852d7c,sophisticated,163,7139.373478
0xe3e4ebe3eb2b21f58d4217ec5695477f8f329241,bot,753,-10587.667078999993
0xd95cc35ddc5abf0420f0c6979d8ba17ef8e8f1d7,bot,911,-35740.58655000001
