date,n_trades_total,bot_share,retail_share,sophisticated_share,casual_share,one_shot_share,bot_share_ma4w,bot_share_ma13w,bot_share_ma52w,bot_share_z52w
2023-08-14,4677,0.6322428907419286,0.1668804789394911,0.1734017532606371,0.0264058156938208,0.0010690613641223,0.6198506958851554,0.624763733197264,0.5842146506680864,0.2571278149479888
2023-08-21,3529,0.6200056673278549,0.1857466704448852,0.1780957778407481,0.0153017852082742,0.0008500991782374,0.6282526915390463,0.6225142339750002,0.585156519527554,0.18905084838519146
2023-08-28,2517,0.5762812872467223,0.2250695272149384,0.1762018275725069,0.0196662693682955,0.0027810885975367,0.6231466298600735,0.611502696100067,0.5849289494690711,-0.047540403881633345
2023-09-04,2248,0.6439056939501779,0.1690391459074733,0.1641459074733096,0.0211298932384341,0.0017793594306049,0.6181088848166709,0.6109120794495239,0.5864033680810988,0.3198196678232196
2023-09-11,2980,0.6708053691275168,0.1699664429530201,0.1364093959731543,0.0199664429530201,0.0028523489932885,0.627749504413068,0.6127636159063325,0.5884619534724749,0.46254348442411725
2023-09-18,3376,0.6712085308056872,0.1956457345971564,0.1143364928909952,0.0173281990521327,0.0014810426540284,0.6405502202825261,0.625262998163171,0.5904321100756466,0.4581717547977656
2023-09-25,4161,0.7161739966354241,0.1529680365296803,0.118481134342706,0.0115356885364095,0.0008411439557798,0.6755233976297015,0.6322376817400973,0.5933563399956414,0.7008443496233886
2023-10-02,5538,0.7314012278801011,0.1276634163958107,0.1336222462983026,0.006771397616468,0.0005417118093174,0.6973972811121822,0.641401802500677,0.5964937238111974,0.7733810936292316
2023-10-09,6171,0.6858693890779453,0.1733106465726786,0.1279371252633284,0.012396694214876,0.0004861448711716,0.7011632860997894,0.647665373135728,0.598479849706014,0.5052619982262723
2023-10-16,6545,0.6722689075630253,0.173414820473644,0.1392666157372039,0.0138273491214667,0.00122230710466,0.7014283802891239,0.6513325271657752,0.6000839596594273,0.42121787807368294
2023-10-23,5292,0.6683673469387755,0.1571239606953892,0.153344671201814,0.0192743764172335,0.0018896447467876,0.6894767178649618,0.6576378857985816,0.6015367976866475,0.39360383199363336
2023-10-30,6293,0.6680438582552042,0.1768631813125695,0.1341172731606547,0.0197838868584141,0.0011918004131574,0.6736373754587376,0.6631254492057039,0.6029223614484923,0.3870531882523983
2023-11-06,4906,0.7108642478597635,0.147778230737872,0.1266816143497758,0.0137586628618018,0.0009172441907867,0.6798860901541921,0.6667260318007789,0.6051252570895387,0.6324092834434113
2023-11-13,7755,0.6783365570599613,0.159638942617666,0.1467440361057382,0.0143133462282398,0.0009671179883945,0.6814030025284261,0.6702716984406277,0.6065894830889471,0.4327094154301621
2023-11-20,4231,0.6823445993854881,0.1551642637674308,0.140392342235878,0.0200898132829118,0.0020089813282911,0.6848973156401044,0.6750670009065994,0.6080748775261342,0.45152924565958474
2023-11-27,5713,0.714073166462454,0.1507964291965692,0.1112375284438998,0.0219674426746017,0.001925433222475,0.6964046426919168,0.6856663762308864,0.610113306159525,0.6357379713514552
2023-12-04,5353,0.7557444423687651,0.1239491873715673,0.1086306743881935,0.010741640201756,0.0009340556697179,0.707624691319167,0.6942693568784701,0.624646853128155,0.9353968454942331
2023-12-11,5200,0.7676923076923077,0.143076923076923,0.0764423076923077,0.011826923076923,0.0009615384615384,0.7299636289772538,0.7017221983065309,0.6389372789696528,1.139140658882162
2023-12-18,4134,0.7414126753749395,0.1480406386066763,0.0902273826802128,0.0198355104015481,0.0004837929366231,0.7447306479746165,0.7071225171195505,0.6531952150345556,1.2774029689554467
2023-12-25,9781,0.6956343932113281,0.1508025764236785,0.1196707903077395,0.0306717104590532,0.0032205295982005,0.7401209546618351,0.7055425476253891,0.6567883531964808,0.586789918371077
2024-01-01,21202,0.6205074992925196,0.1889680218847278,0.1303650599000094,0.0539335911706442,0.0062258277520988,0.7063117188927738,0.6970122608109597,0.6588127648129121,-0.6048040332804232
2024-01-08,14467,0.7863413285408171,0.1025782816064145,0.0987765258865003,0.0115435128222852,0.0007603511439828,0.710973974104901,0.704740871538873,0.6631419347887756,1.918358094132263
2024-01-15,16838,0.8125371184226156,0.0797006770400285,0.0994773726095735,0.0076909371659341,0.0005938947618482,0.7287550848668201,0.7155307339126876,0.6686591673422677,2.2306672323212116
2024-01-22,14290,0.7970258922323303,0.0837998600419874,0.1080475857242827,0.0099020293911826,0.0012246326102169,0.7541029596220706,0.7254275450891149,0.6718255479482852,1.8774010784148047
2024-01-29,16782,0.8016327017042069,0.0805327136217375,0.1015969491121439,0.0140328923846978,0.0022047431772136,0.7993842602249924,0.7357036099698075,0.6738071631795695,1.8528073332833905
2024-02-05,19088,0.7584084241408214,0.1232711651299245,0.1022893964794635,0.0150356244761106,0.0009953897736797,0.7924010341249936,0.7393608542991197,0.6756326927724339,1.183174796289212
2024-02-12,15359,0.7883000195325216,0.1075590858779868,0.0932026824663064,0.0103847906764763,0.0005534214467087,0.7863417594024701,0.7478195821816241,0.6774843704643533,1.5464859809680762
2024-02-19,19733,0.8300055744184868,0.0782952414736735,0.084097704353114,0.0071960675011402,0.0004054122535853,0.7945866799490092,0.7591781187226242,0.6784740633927882,2.0640847711047945
2024-02-26,24789,0.823026342329259,0.0891121061761265,0.0742063011819758,0.0133123562870628,0.0003428940255758,0.7999350901052722,0.7675591322508399,0.6815799257558753,1.859886212225922
2024-03-04,13765,0.7859062840537595,0.1075190701053396,0.0978568833999273,0.0078459861968761,0.0008717762440973,0.8068095550835068,0.7698792739189163,0.6838635545899214,1.3187087037682519
2024-03-11,15604,0.8374455267880031,0.0765508843886183,0.0785055114073314,0.0071456036913611,0.0003524737246859,0.8190959318973771,0.7752449061570469,0.686718160410914,1.8780190230146754
2024-03-18,15205,0.8340677408747122,0.0717855968431437,0.086057218020388,0.0076290693850707,0.0004603748766853,0.8201114735114334,0.7823722188877986,0.691050326207134,1.7434682581112795
2024-03-25,13699,0.8476896123804657,0.0683991532228629,0.0767574275494561,0.0066793196583692,0.0004744871888459,0.8262772910242352,0.7940687742085015,0.6979759880083858,1.87889021550605
2024-04-01,14160,0.8464336158192091,0.0692796610169491,0.0751059322033898,0.0084039548022598,0.000776836158192,0.8414091239655976,0.811447706249016,0.7025211857484988,1.77025633986701
2024-04-08,12801,0.8197797047105695,0.0786266697914225,0.088899304741817,0.011171002265448,0.0015233184907429,0.8369926684462392,0.8140198890313045,0.7050254124511153,1.3846196865478693
2024-04-15,16911,0.8529359588433564,0.0652829519247826,0.074359884099107,0.0067707409378511,0.0006504641949027,0.8417097229384002,0.8171274921405924,0.7067193909870325,1.7202415618205003
2024-04-22,15578,0.8509757350109128,0.0732764154576967,0.0662151752471434,0.0082809089741943,0.0012517653100526,0.8425312535960119,0.8212774800466373,0.7090676327172929,1.6259368510823506
