total_trades,total_usd_volume,participations_bot,participations_active_retail,participations_sophisticated,participations_casual,participations_one_shot,participation_volume_bot,participation_volume_active_retail,participation_volume_sophisticated,participation_volume_casual,participation_volume_one_shot,participations_unclassified,participation_volume_unclassified,active_wallets,flagged_active,total_participations,share_bot,share_active_retail,share_sophisticated,share_casual,share_one_shot,new_wallets,date,total_usd_volume_ma4w,total_usd_volume_ma13w,total_usd_volume_ma52w,total_usd_volume_z52w,new_wallets_ma4w,new_wallets_ma13w,new_wallets_ma52w,new_wallets_z52w,week
4976,645770.6650590007,6923.0,1417.0,1343.0,260.0,9.0,884343.5536930016,147398.920564,222785.58809199987,34951.747237,2061.520532,0.0,0.0,710,3,9952,0.6956390675241158,0.14238344051446947,0.13494774919614147,0.02612540192926045,0.0009043408360128617,157,2023-08-14,1060018.5523047496,918819.9855746147,617615.7220941348,0.04461530808650657,307.25,224.6153846153846,170.72972972972974,-0.06729151924664144,2023-W33
4720,835638.304363,6048.0,1623.0,1542.0,218.0,9.0,1206435.7558190003,123546.67089899996,318729.6703910001,21581.498007,983.01361,0.0,0.0,669,2,9440,0.6406779661016949,0.17192796610169492,0.16334745762711864,0.02309322033898305,0.0009533898305084746,76,2023-08-21,1009002.7623774998,854830.1710749225,623353.1584696313,0.34048545964547255,185.5,220.69230769230768,168.23684210526315,-0.4569724760513,2023-W34
2878,537518.171999,3397.0,1105.0,1152.0,88.0,14.0,701768.5177189995,147765.80149800002,218524.47865099992,6961.918292,15.627838,0.0,0.0,511,0,5756,0.5901667824878388,0.19197359277275886,0.20013898540653233,0.015288394718554551,0.002432244614315497,67,2023-08-28,801023.0596475,866887.1086092301,621152.2613806408,-0.13590795486302037,134.5,220.84615384615384,165.64102564102564,-0.4936286330684456,2023-W35
2296,332486.24941999983,3074.0,779.0,633.0,96.0,10.0,502884.0746459992,86851.28726000006,64022.566146999976,8407.895841,2806.674946,0.0,0.0,417,2,4592,0.669425087108014,0.16964285714285715,0.13784843205574912,0.020905923344947737,0.0021777003484320556,128,2023-09-11,587853.3477102502,854477.0449545379,613935.6110816248,-0.46204020506941373,107.0,224.76923076923077,164.7,-0.18597378654261784,2023-W37
3314,391531.2128809997,4400.0,1180.0,892.0,138.0,18.0,555310.2161149995,65696.94347299996,141830.01798500004,17852.719203000004,2372.5289860000003,0.0,0.0,551,2,6628,0.663850331925166,0.1780325890162945,0.13458056729028364,0.020820760410380206,0.002715751357875679,107,2023-09-18,524293.4846657498,859287.3405416918,608511.1135645363,-0.36014200752683484,94.5,225.3846153846154,163.29268292682926,-0.28858344187454543,2023-W38
3763,584038.6253789994,5165.0,1374.0,864.0,117.0,6.0,920363.1664969998,123660.78613600004,121179.22511600002,2788.3846350000003,85.688374,0.0,0.0,561,0,7526,0.6862875365399946,0.18256710071751261,0.11480201966516078,0.015546106829657189,0.0007972362476747276,71,2023-09-25,461393.56491974974,727903.1535141534,607928.4352744045,-0.040143955086659765,93.25,159.46153846153845,161.0952380952381,-0.46633728351539944,2023-W39
4126,835926.987326,5997.0,1052.0,1122.0,74.0,7.0,1427413.0280590008,126138.85881399992,114040.278403,3791.808681000001,470.000695,0.0,0.0,485,3,8252,0.7267329132331556,0.12748424624333496,0.13596703829374698,0.00896752302472128,0.0008482792050412022,86,2023-10-02,535995.7687514997,748139.2247938458,613230.7271825812,0.37808992049594475,98.0,160.76923076923077,159.34883720930233,-0.38356950847610716,2023-W40
6158,869140.8841969996,8854.0,1906.0,1462.0,88.0,6.0,1397476.404903999,131388.646999,188771.29728,20211.158918,434.2602930000001,0.0,0.0,566,4,12316,0.7189022409873336,0.1547580383241312,0.1187073725235466,0.0071451770055212735,0.0004871711594673595,129,2023-10-09,670159.4274457498,767337.6504953074,619046.8671147269,0.42868999040881095,98.25,165.76923076923077,158.6590909090909,-0.156888472033854,2023-W41
6365,872871.9678659998,8861.0,2122.0,1600.0,135.0,12.0,1353022.616565,140410.97449099994,211202.552741,40085.100289,1022.691646,0.0,0.0,646,2,12730,0.6960722702278084,0.16669285153181462,0.12568735271013354,0.010604870384917517,0.0009426551453260016,158,2023-10-16,790494.6161919998,783821.6233649228,624687.4249091997,0.4294120039675374,111.0,168.6153846153846,158.64444444444445,-0.00344834518344422,2023-W42
5770,1121486.6280119964,7617.0,1993.0,1717.0,194.0,19.0,1645619.856341999,189300.804914,383912.2958789998,22781.798055000003,1358.500834,0.0,0.0,777,7,11540,0.660051993067591,0.17270363951473136,0.14878682842287694,0.01681109185441941,0.0016464471403812824,132,2023-10-23,924856.616850249,816977.9415893841,635487.4075853474,0.8434839239716352,126.25,167.92307692307693,158.06521739130434,-0.14101600492792374,2023-W43
