week,wallet_type,alpha,alpha_se,r2,n_trades,n_bins_used,mean_cal_error,longshot_fraction,date
2024-W28,bot,0.6409841179564101,0.0022183263456904,0.9137862270306488,236674,10,0.0731829436270988,0.4801203342995006,2024-07-08
2024-W28,casual,0.4986135552578604,0.0316973390213653,0.8075128633114157,883,10,0.1267836919592299,0.4541336353340883,2024-07-08
2024-W28,sophisticated,0.5777817678708644,0.0054533465648825,0.922801049363812,28593,10,0.0954726681355576,0.4930227678103032,2024-07-08
2024-W29,active_retail,0.6110991633714828,0.0047831314082642,0.7109292260540414,48661,10,0.0750529171204866,0.5138817533548427,2024-07-15
2024-W29,bot,0.8669594210085995,0.0035817311109264,0.9168098025304408,293815,10,0.042290046457805,0.4752071881966543,2024-07-15
2024-W29,casual,0.5591421913623014,0.0560473019384404,0.2595206630275225,578,10,0.1474048442906574,0.273356401384083,2024-07-15
2024-W29,sophisticated,0.9094933672593546,0.0130751879253875,0.8842182588683158,21190,10,0.0530533270410571,0.4689004247286455,2024-07-15
2024-W30,active_retail,0.51039600210621,0.0052800082406963,0.5871688044571117,35501,10,0.1188008788484831,0.4542125573927495,2024-07-22
2024-W30,bot,0.7739612586683009,0.0046016601654746,0.8118958786900663,272300,10,0.0681641571795813,0.4244362835108336,2024-07-22
2024-W30,casual,0.2000094098095188,0.0323605037566188,0.3568399570424256,678,10,0.25,0.3348082595870206,2024-07-22
2024-W30,sophisticated,0.889750018548515,0.0191848500013811,0.8130779881694511,20178,10,0.0747645951035781,0.4101496679551987,2024-07-22
2024-W31,active_retail,0.3955815702839625,0.0060236087902985,0.6504643674068877,32059,10,0.1718815309273527,0.3102093016001747,2024-07-29
2024-W31,bot,0.7371331439022453,0.0036203872341776,0.8746070280839289,238805,10,0.0621345867967588,0.4232993446535876,2024-07-29
2024-W31,casual,0.6763908000467069,0.109248452266437,0.945004779749128,244,9,0.0864754098360655,0.2950819672131147,2024-07-29
2024-W31,sophisticated,0.8208735721274611,0.020149783151419,0.8777026552890976,15803,10,0.0788046573435423,0.3574637727013858,2024-07-29
2024-W32,active_retail,1.0973330910380348,0.0658645656932729,0.7840207641987413,27906,10,0.0634379703289615,0.2431018418977997,2024-08-05
2024-W32,bot,0.9699863834926914,0.0127935137325453,0.951340010813392,271111,10,0.0423374558760065,0.4093932005709838,2024-08-05
2024-W32,casual,0.6370091545255442,0.2065882596244369,0.8897634939127201,209,6,0.1021531100478469,0.3301435406698564,2024-08-05
2024-W32,sophisticated,1.0392230738799069,0.0305585871440388,0.9579138514279764,15320,10,0.0413838120104438,0.3047650130548303,2024-08-05
2024-W33,active_retail,0.5708009312256057,0.0074642651109842,0.6876329462869202,39001,10,0.1016935463193251,0.17496987256737,2024-08-12
2024-W33,bot,0.7732289588286755,0.0027192840279039,0.8108760594682917,384990,10,0.0627156549520766,0.4178550092210187,2024-08-12
2024-W33,casual,0.3082575438947301,0.2153299580993649,0.2015949621177876,217,8,0.1550691244239631,0.216589861751152,2024-08-12
2024-W33,sophisticated,0.970365067800084,0.026945805730768,0.8132054944265373,17549,10,0.074485725682375,0.2797880221095219,2024-08-12
2024-W34,active_retail,0.518468062583123,0.0067867488712592,0.5714957124530713,32909,10,0.1155534960041326,0.3090947765049074,2024-08-19
2024-W34,bot,0.707565009202822,0.0022891407795453,0.8145651810818946,447519,10,0.0590742515960216,0.4707643697809478,2024-08-19
2024-W34,casual,0.1000036648112377,0.4432958998184017,0.201537910675264,243,9,0.3125514403292181,0.1646090534979424,2024-08-19
2024-W34,sophisticated,0.52743790613573,0.0098970223973743,0.5685477227481386,14527,10,0.1554656845873201,0.3233289736352998,2024-08-19
2024-W35,active_retail,0.5487320151309276,0.0069054286901885,0.7073779566026552,28701,10,0.1073882443120449,0.2868192745897355,2024-08-26
2024-W35,bot,0.871060531368643,0.0052229422730028,0.8694626465175114,332950,10,0.0601156329779246,0.366238173899985,2024-08-26
2024-W35,casual,0.2231487344394211,0.0266601079204396,0.6891274341132091,492,9,0.2424796747967479,0.1646341463414634,2024-08-26
2024-W35,sophisticated,0.766251631810037,0.0139800558137211,0.7731127427135545,18209,10,0.0901175243011697,0.2919435444011203,2024-08-26
2024-W36,active_retail,0.4865330140362859,0.0072304121505969,0.6663949871304704,27630,10,0.1277271082157075,0.3102424900470503,2024-09-02
2024-W36,bot,0.8278285314106459,0.0053267448784196,0.8798248917679065,342393,10,0.0626381088398419,0.376561436711615,2024-09-02
2024-W36,casual,0.1706752429000901,0.2182342573090151,0.7369559072457981,413,9,0.1243341404358353,0.135593220338983,2024-09-02
2024-W36,sophisticated,0.8927420354486786,0.0287115252564626,0.8650296650026313,18366,10,0.0774910160078405,0.322661439616683,2024-09-02
2024-W37,active_retail,0.2904527634066673,0.0042773802781753,0.3423194389403046,47119,10,0.2372004923703813,0.203251342345975,2024-09-09
2024-W37,bot,0.6008615614380126,0.0022240410314609,0.6000277833047738,393097,10,0.1114377621808357,0.3941597112163155,2024-09-09
2024-W37,casual,0.1500617723954929,0.0177999960120671,0.6176542918785084,949,10,0.3059536354056902,0.0821917808219178,2024-09-09
2024-W37,sophisticated,0.3347104900017172,0.0064519686808914,0.466921005419424,23509,10,0.2222319111829512,0.2616870134841975,2024-09-09
2024-W38,active_retail,0.5805089753880197,0.006418647674432,0.6805838827142252,71799,10,0.10642279140378,0.2075377094388501,2024-09-16
2024-W38,bot,0.7928350982105431,0.0033552045025654,0.860437622675996,465515,10,0.0688361277295038,0.3796891614663329,2024-09-16
2024-W38,casual,0.6302832934317698,0.0612990435422975,0.7325794819430791,664,10,0.101355421686747,0.0813253012048192,2024-09-16
2024-W38,sophisticated,0.6192034708319679,0.0088323309007043,0.7417592397166672,30339,10,0.1106216421108144,0.3110847424107584,2024-09-16
2024-W39,active_retail,0.3491555093631492,0.0034568356467993,0.5338986419828999,131754,10,0.1846327246231613,0.1976182886288082,2024-09-23
2024-W39,bot,0.4817980023192282,0.001062116296282,0.6717394557783984,863525,10,0.1408559682695926,0.3506360557019194,2024-09-23
2024-W39,casual,0.1610659410357558,0.0091029135103421,0.7873299938949201,945,9,0.2543386243386243,0.1439153439153439,2024-09-23
2024-W39,sophisticated,0.4856167073293871,0.0044599161842203,0.6724612697597339,51126,10,0.1507256581778351,0.3171380510894652,2024-09-23
2024-W40,active_retail,0.2031194744580296,0.0015411133897548,0.1912684959587687,186184,10,0.3110197439092511,0.1190274137412452,2024-09-30
2024-W40,bot,0.2663712298305727,0.0006618237884709,0.3055019911244574,985372,10,0.271442866247468,0.2541760878125215,2024-09-30
2024-W40,casual,0.2215609289701066,0.0546234166129998,0.3440701005860334,963,9,0.2448078920041537,0.1516095534787123,2024-09-30
2024-W40,sophisticated,0.3080250308813275,0.0037746085119011,0.3684542643396553,50498,10,0.253877381282427,0.1755515069903758,2024-09-30
2024-W41,active_retail,0.3649840610553914,0.0019931569787207,0.7827780149009347,251510,10,0.1959985686453819,0.0925012921951413,2024-10-07
2024-W41,bot,0.4422900370918489,0.0007284771692037,0.8840721932535716,1256614,10,0.1580421672844644,0.2216313044419368,2024-10-07
2024-W41,casual,0.2592824707000737,0.0136631961550612,0.9154486287420224,1010,8,0.2452475247524752,0.1039603960396039,2024-10-07
