date,week,wallet_type,pnl,cumulative_pnl
2025-03-03,2025-W10,casual,24406.49828999999,-6589757.140769
2025-03-10,2025-W11,casual,-55254.223841,-6645011.3646100005
2025-03-17,2025-W12,casual,-118357.57742500002,-6763368.942035001
2025-03-24,2025-W13,casual,-149144.30001799998,-6912513.242053
2025-03-31,2025-W14,casual,-201638.939943,-7114152.181996001
2025-04-07,2025-W15,casual,-216130.941042,-7330283.123038
2025-04-14,2025-W16,casual,-410486.596764,-7740769.719802001
2025-04-21,2025-W17,casual,43947.86119299999,-7696821.858609
2025-04-28,2025-W18,casual,397399.997526,-7299421.861083001
2025-05-05,2025-W19,casual,236533.270555,-7062888.590528
2025-05-12,2025-W20,casual,-71886.246063,-7134774.836591001
2025-05-19,2025-W21,casual,-46238.43946199996,-7181013.276053
2025-05-26,2025-W22,casual,-81471.784042,-7262485.060095
2025-06-02,2025-W23,casual,-50731.052555,-7313216.1126500005
2025-06-09,2025-W24,casual,-192168.109561,-7505384.2222110005
2025-06-16,2025-W25,casual,-128938.103577,-7634322.325788001
2025-06-23,2025-W26,casual,-110695.40069000002,-7745017.726478
2025-06-30,2025-W27,casual,-60807.81465099999,-7805825.5411290005
2025-07-07,2025-W28,casual,-24752.463434,-7830578.004563001
2025-07-14,2025-W29,casual,-36229.252887,-7866807.25745
2025-07-21,2025-W30,casual,-21880.588351,-7888687.8458010005
2025-07-28,2025-W31,casual,-41659.015583,-7930346.861384001
2025-08-04,2025-W32,casual,-71146.23645699999,-8001493.097841
2025-08-11,2025-W33,casual,-56997.074351,-8058490.172192001
2025-08-18,2025-W34,casual,-39579.53435799999,-8098069.70655
2025-08-25,2025-W35,casual,43712.777191,-8054356.929359
2025-09-01,2025-W36,casual,-177907.66208100002,-8232264.591440001
2025-09-08,2025-W37,casual,-142609.023856,-8374873.615296001
2025-09-15,2025-W38,casual,-110576.84359,-8485450.458886001
2025-09-22,2025-W39,casual,76068.76600399999,-8409381.692882001
2025-09-29,2025-W40,casual,-189472.83651800003,-8598854.5294
2025-10-06,2025-W41,casual,-417011.119982,-9015865.649382
2025-10-13,2025-W42,casual,-21784.610108,-9037650.25949
2025-10-20,2025-W43,casual,-282299.454205,-9319949.713695
2025-10-27,2025-W44,casual,-299932.68960800004,-9619882.403303001
2025-11-03,2025-W45,casual,-108012.418365,-9727894.821668
2025-11-10,2025-W46,casual,-216623.863096,-9944518.684764002
2025-11-17,2025-W47,casual,-247392.728137,-10191911.412901001
2025-11-24,2025-W48,casual,-189818.42744,-10381729.840341
2025-12-01,2025-W49,casual,-372160.449269,-10753890.28961
2025-12-08,2025-W50,casual,-201543.288541,-10955433.578151
2025-12-15,2025-W51,casual,-484579.571658,-11440013.149809001
2025-12-22,2025-W52,casual,-114828.09142600004,-11554841.241235001
2025-12-29,2026-W01,casual,-106912.97070299996,-11661754.211938001
2026-01-05,2026-W02,casual,-318157.705769,-11979911.917707
2026-01-12,2026-W03,casual,-374748.257108,-12354660.174815001
2026-01-19,2026-W04,casual,-536678.197344,-12891338.372159
2026-01-26,2026-W05,casual,-308134.715721,-13199473.08788
2026-02-02,2026-W06,casual,-85382.26925300005,-13284855.357133001
2026-02-09,2026-W07,casual,-85501.36992299999,-13370356.727056
2026-02-16,2026-W08,casual,-20347.483883000008,-13390704.210939001
2026-02-23,2026-W09,casual,-10786.13363500001,-13401490.344574
2026-03-02,2026-W10,casual,-39482.85617000001,-13440973.200744001
2026-03-09,2026-W11,casual,-32198.627952,-13473171.828696001
2026-03-16,2026-W12,casual,-20665.808341000004,-13493837.637037
2026-03-23,2026-W13,casual,-31093.109334000004,-13524930.746371001
2026-03-30,2026-W14,casual,-8218.19570400004,-13533148.942075001
2026-04-06,2026-W15,casual,867.1421119999991,-13532281.799963001
2026-04-13,2026-W16,casual,-22213.101154,-13554494.901117
2026-04-20,2026-W17,casual,-2852.1906179999983,-13557347.091735
2023-03-06,2023-W10,one_shot,-13987.564185,-13987.564185
2023-03-13,2023-W11,one_shot,-17322.185168,-31309.749353
2023-03-20,2023-W12,one_shot,1254.6386699999998,-30055.110683
2023-03-27,2023-W13,one_shot,-116.919897,-30172.03058
2023-06-19,2023-W25,one_shot,-4024.737118,-34196.767697999996
2023-07-24,2023-W30,one_shot,-2030.667449,-36227.435147
2023-07-31,2023-W31,one_shot,-753.710092,-36981.145239
2023-08-07,2023-W32,one_shot,-1205.616551,-38186.76179
2023-10-02,2023-W40,one_shot,-206.472283,-38393.234073
2023-10-09,2023-W41,one_shot,117.621373,-38275.6127
2023-10-16,2023-W42,one_shot,-578.719253,-38854.331953
2023-10-23,2023-W43,one_shot,44.47249999999999,-38809.859453
2023-10-30,2023-W44,one_shot,-816.587186,-39626.446639
2023-11-13,2023-W46,one_shot,-1343.802295,-40970.248934
2023-11-27,2023-W48,one_shot,38.25870699999997,-40931.990227
