date,week,n_trades,longshot_fraction,longshot_winrate,longshot_gap,longshot_gap_ma4w,longshot_gap_ma13w,longshot_gap_ma52w,longshot_gap_z52w
2024-03-04,2024-W10,1056,0.2490530303030303,0.0874524714828897,0.0374524714828897,0.04324452276310001,0.027175360715439835,0.029315732913144342,0.1425076875273147
2024-03-11,2024-W11,856,0.3563084112149532,0.0459016393442622,-0.0040983606557378,0.02756115822590651,0.027161413795094184,0.030140269850376895,-0.6083921948066373
2024-03-18,2024-W12,800,0.40125,0.0996884735202492,0.0496884735202492,0.02846849828084566,0.03293510084496558,0.03190904660533917,0.32095911419816026
2024-03-25,2024-W13,699,0.2761087267525036,0.0569948186528497,0.006994818652849698,0.02250935075006271,0.0346811615966566,0.03142689178518413,-0.4401993966489058
2024-04-01,2024-W14,611,0.3584288052373158,0.1187214611872146,0.0687214611872146,0.030326598176143936,0.042583515352260556,0.031249187475167937,0.6768224936449354
2024-04-08,2024-W15,589,0.4125636672325976,0.2469135802469135,0.19691358024691352,0.08057958340180676,0.05599261527073736,0.03118983324914704,3.0032271400253223
2024-04-15,2024-W16,709,0.4188998589562764,0.1952861952861952,0.14528619528619519,0.10447901384329326,0.06269862197674406,0.03232295938227318,1.9847770819595445
2024-04-22,2024-W17,704,0.4105113636363636,0.2560553633217993,0.2060553633217993,0.15424415001053066,0.07673907978882817,0.033155447956792226,2.923888064975345
2024-04-29,2024-W18,1049,0.4909437559580553,0.3514563106796116,0.3014563106796116,0.21242786238362993,0.09315516999132616,0.036068069316015534,3.899435712260513
2024-05-06,2024-W19,3780,0.2785714285714286,0.2032288698955365,0.15322886989553652,0.20150668479578565,0.09978652332207937,0.039132039140460644,1.637217455847088
2024-05-13,2024-W20,5217,0.4036802760207015,0.0650522317188983,0.015052231718898301,0.16894819390396143,0.09643399518560723,0.03968054974341452,-0.35498285661499696
2024-05-20,2024-W21,5959,0.4005705655311294,0.1705069124423963,0.1205069124423963,0.14756108118411068,0.10216074896575367,0.04220783752340799,1.1202941660986958
2024-05-27,2024-W22,7697,0.3588411069247759,0.0658942795076031,0.015894279507603096,0.07617057339110857,0.10101173902203223,0.04176270643912323,-0.36962424489356943
2024-06-03,2024-W23,8567,0.4697093498307458,0.055417495029821,0.005417495029820994,0.03921772967467969,0.09854751006410388,0.042441230801467486,-0.5331249670145737
2024-06-10,2024-W24,11062,0.5352558307720123,0.0489782131396723,-0.0010217868603277017,0.03519922502987319,0.09878416958682774,0.03880436493693738,-0.5983379337238643
2024-06-17,2024-W25,24304,0.483294930875576,0.0465690447812021,-0.003430955218797903,0.004214758114574635,0.09469805968382412,0.03831257609863513,-0.6250815531586656
2024-06-24,2024-W26,21815,0.3790052716021086,0.0403967102080309,-0.009603289791969102,-0.0021596342103184143,0.09342128211114575,0.038034583589652934,-0.7115140643095139
2024-07-01,2024-W27,31141,0.4408015156867153,0.0265170831208567,-0.023482916879143303,-0.00938473718755949,0.08632863764450284,0.037934026885322644,-0.9160844511404426
2024-07-08,2024-W28,62435,0.4652838952510611,0.0215146299483648,-0.028485370051635202,-0.016250632985386364,0.06899025685230678,0.03619558981893116,-0.957119227848741
2024-07-15,2024-W29,71685,0.4965892446118435,0.0370245519411202,-0.012975448058879804,-0.01863675619540684,0.056816284287301004,0.0363612717618548,-0.731512944253621
2024-07-22,2024-W30,57116,0.4352370614188668,0.0325837724767689,-0.017416227523231104,-0.020589990628222338,0.039626161914606356,0.03561914474748113,-0.7819283032911563
2024-07-29,2024-W31,48737,0.3270205388103494,0.0283598945915422,-0.021640105408457802,-0.020129287760550965,0.014772591446293329,0.03590947734598202,-0.8520523584286047
2024-08-05,2024-W32,44135,0.2657074883879007,0.0349620533810863,-0.015037946618913701,-0.016767431902370587,0.0018289901759510048,0.035633828860082005,-0.7482136868826412
2024-08-12,2024-W33,57262,0.2129684607593168,0.0555965559655596,0.005596555965559601,-0.012124430896260738,0.0011016305026172585,0.03556170145540234,-0.44226253074447675
2024-08-19,2024-W34,47758,0.3168683780727836,0.0253089275094165,-0.024691072490583502,-0.013943142138098837,-0.010067445261458112,0.03445077846371953,-0.8663264918447885
2024-08-26,2024-W35,48320,0.2910182119205298,0.0444460247475465,-0.005553975252453505,-0.009921609599097762,-0.011717311012231694,0.034103586631941574,-0.5795606427621908
2024-09-02,2024-W36,47066,0.3175540730038669,0.0235514518934832,-0.0264485481065168,-0.012774259970998538,-0.014168545099642296,0.03248681996863067,-0.8559690683911875
2024-09-09,2024-W37,72853,0.2212125787544782,0.0369818813601389,-0.013018118639861104,-0.017427928622353712,-0.015091339851914095,0.031015057811835004,-0.63821924810243
2024-09-16,2024-W38,103813,0.2398350880910868,0.0465097598200658,-0.003490240179934205,-0.01212772054469139,-0.015095900233539964,0.030613019917277065,-0.49328235823239297
2024-09-23,2024-W39,183950,0.2376841533025278,0.0180915786103105,-0.0319084213896895,-0.018716332079000392,-0.016811679587210766,0.027523946347180746,-0.8708211779502306
2024-09-30,2024-W40,238405,0.1332144879511755,0.023993198778299,-0.026006801221701004,-0.01860589535779644,-0.017005824536638278,0.026407829977532653,-0.7635396988439469
2024-10-07,2024-W41,319773,0.1016815053178348,0.0452099031216361,-0.004790096878363903,-0.01654888991742214,-0.01518311121561741,0.0261117500259091,-0.44948458891519716
2024-10-14,2024-W42,485627,0.1192684920731343,0.0281595303867403,-0.0218404696132597,-0.021136447275753516,-0.015865035950569713,0.026109012402722325,-0.6974322241701688
2024-10-21,2024-W43,516427,0.1574588470393685,0.0363643071474248,-0.013635692852575203,-0.016568265141474938,-0.015574225591288487,0.026114432266580414,-0.5781983440840829
2024-10-28,2024-W44,205457,0.2963637160087025,0.0309738873378223,-0.019026112662177703,-0.014823093001594114,-0.015373149226190017,0.02503328662902963,-0.638429535500183
2024-11-04,2024-W45,225403,0.2968771489288075,0.0219376242210499,-0.028062375778950103,-0.020641162726740662,-0.016375028392346665,0.02534891667407957,-0.7771746047860424
2024-11-11,2024-W46,236709,0.3942182173047919,0.0277125864009001,-0.022287413599099904,-0.020752898723200713,-0.018519949128089703,0.025078336993231223,-0.6875840943493302
2024-11-18,2024-W47,214247,0.3333908992891382,0.015078120624965,-0.034921879375035006,-0.026074445353815666,-0.01930693427304751,0.024127606062321744,-0.8511604919300246
2024-11-25,2024-W48,243680,0.3111457649376231,0.0205750461619625,-0.029424953838037504,-0.028674155647780614,-0.02114316339501551,0.023071901217105492,-0.7524168458030894
2024-12-02,2024-W49,287133,0.3173268137065402,0.0209405696098337,-0.029059430390166303,-0.028923419300584667,-0.02134400049375778,0.022552581296535916,-0.736666624742287
2024-12-09,2024-W50,395505,0.3069038318099645,0.0191873589164785,-0.030812641083521504,-0.031054726171690063,-0.02271280991250089,0.022035358404376735,-0.7511145203736473
2024-12-16,2024-W51,414777,0.3489682407655198,0.0242566185817719,-0.025743381418228104,-0.02876010168248834,-0.024424590007754265,0.02202816757187387,-0.6789164350795882
2024-12-23,2024-W52,228104,0.2942912005050327,0.0410999716962862,-0.008900028303713801,-0.023628870298907416,-0.022654713616525362,0.022159012626016553,-0.4418124180306537
2024-12-30,2025-W01,172924,0.3844347805972566,0.0289569481633021,-0.021043051836697902,-0.021624775660540312,-0.022272886740755893,0.022408360429842306,-0.6196828647096061
2025-01-06,2025-W02,223816,0.4172043106837759,0.0348908189382824,-0.015109181061717603,-0.01769891065508934,-0.023066662447167714,0.02168327461506475,-0.5232779134469981
2025-01-13,2025-W03,172542,0.4338132164922164,0.0243149724118582,-0.025685027588141802,-0.017684322197567763,-0.023362397676004804,0.02007186815936764,-0.6497671568622531
2025-01-20,2025-W04,116929,0.360577786520025,0.0297661401261799,-0.020233859873820103,-0.020517780090094338,-0.023869948985331332,0.019230266781703677,-0.5586694933901434
2025-01-27,2025-W05,166432,0.335248029225149,0.0333715678543264,-0.016628432145673604,-0.019414125167338266,-0.02368551202252333,0.017217275047226536,-0.48261660222245556
2025-02-03,2025-W06,171978,0.4113200525648629,0.0390454918148661,-0.010954508185133903,-0.01837545694819234,-0.022369522207614387,0.01571774072451733,-0.38170290901454434
2025-02-10,2025-W07,191033,0.4603236090099616,0.0235623230267123,-0.026437676973287704,-0.018563619294478813,-0.022688773236398063,0.014081725830934179,-0.5801052974421954
2025-02-17,2025-W08,184477,0.3793535237455075,0.0259495298791117,-0.024050470120888304,-0.019517771856245862,-0.021852510986079092,0.012733464611292239,-0.5262693609508152
2025-02-24,2025-W09,167711,0.5040098741287095,0.0207150293393904,-0.029284970660609602,-0.022681906484979864,-0.021841743049353865,0.011577380391357795,-0.5830204818435262
2025-03-03,2025-W10,182256,0.5270827846545518,0.0149483677548301,-0.035051632245169904,-0.028706187499988864,-0.022302681653584913,0.010183070704279725,-0.6436043247346582
2025-03-10,2025-W11,213553,0.4743740429776215,0.0189232409381663,-0.031076759061833704,-0.029865958022125366,-0.022322998421147384,0.009664255350316342,-0.5779673705562551
2025-03-17,2025-W12,187491,0.4614568165938632,0.0131531802263086,-0.036846819773691405,-0.03306504543532614,-0.023177109063875337,0.008000115094663638,-0.6356922700285424
2025-03-24,2025-W13,206198,0.4679822306714905,0.0111920577841798,-0.03880794221582021,-0.035445788324128785,-0.025477717826345055,0.007119292770266141,-0.6482659680964556
2025-03-31,2025-W14,178753,0.4614635838279637,0.0086800504315779,-0.0413199495684221,-0.03701286765494184,-0.027037479190323843,0.005003111794196205,-0.6560110559206812
2025-04-07,2025-W15,160780,0.4742940664261724,0.0113169938497449,-0.038683006150255106,-0.03891442942704719,-0.028850850350980575,0.0004724082096352687,-0.5984680933980685
2025-04-14,2025-W16,166614,0.502232705534949,0.0249524970422686,-0.025047502957731404,-0.03596460022305719,-0.028801809994795154,-0.0028032398335171658,-0.3575156283560298
2025-04-21,2025-W17,124413,0.4754406693834245,0.0469307365894067,-0.003069263410593305,-0.027029930521750466,-0.027481456420700788,-0.006824867270678562,0.06857469029964605
2025-04-28,2025-W18,247952,0.4610529457314319,0.0311321827517735,-0.018867817248226504,-0.02141689744170157,-0.027653716813204856,-0.01298494665390622,-0.17737043230548077
2025-05-05,2025-W19,170349,0.462233414930525,0.0218056666793665,-0.028194333320633504,-0.018794729234296165,-0.02897985720824329,-0.016473854408063336,-0.49954608646485227
2025-05-12,2025-W20,135544,0.4696408546302307,0.012174623372135,-0.037825376627865004,-0.021989197651829565,-0.029855834104749235,-0.017490731491654934,-0.8759775123079433
2025-05-19,2025-W21,142046,0.4595412753615026,0.0473527789692995,-0.002647221030700503,-0.021883687056856366,-0.02820943032858094,-0.01985908021229141,1.3437083348949728
2025-05-26,2025-W22,115275,0.3985686402081977,0.033648928066166,-0.016351071933834005,-0.02125450072825824,-0.027214515041905897,-0.02047918312462674,0.3503174606349986
2025-06-02,2025-W23,107572,0.3685066745993381,0.0257057087359047,-0.024294291264095304,-0.020279490214123688,-0.026387027274130927,-0.02105056363027898,-0.28936098048976033
2025-06-09,2025-W24,119325,0.394242614707731,0.0356694938673128,-0.014330506132687201,-0.01440577259032924,-0.025098853971888886,-0.021306500539362817,0.6405216476107204
2025-06-16,2025-W25,116975,0.4534045736268433,0.0146312951335859,-0.0353687048664141,-0.02258614354925764,-0.02498515282517525,-0.021920688032586202,-1.2494589863572132
2025-06-23,2025-W26,246790,0.4490781636208922,0.0105749449597574,-0.0394250550402426,-0.028354639325859788,-0.02503262304243851,-0.022494183518129925,-1.5550497503811613
2025-06-30,2025-W27,259936,0.4242121137510772,0.0093046033300685,-0.0406953966699315,-0.032454915677318834,-0.024984580511785388,-0.022825192744875853,-1.5989591346080927
2025-07-07,2025-W28,207639,0.4278675971277072,0.0091961009432475,-0.0408038990567525,-0.03907326390833517,-0.025147726119977495,-0.0230620875334358,-1.5527262466732736
2025-07-14,2025-W29,209456,0.4424938889313268,0.0136270945049253,-0.0363729054950747,-0.03932431406550031,-0.026018910930542368,-0.02351203863797801,-1.1201097643052311
2025-07-21,2025-W30,144520,0.4151120952117354,0.0273536471529537,-0.022646352847046303,-0.03512963851720124,-0.027524840887192596,-0.023612617971128298,0.08438841865320558
2025-07-28,2025-W31,161211,0.3961950487249629,0.0210267570571934,-0.028973242942806603,-0.03219910008542001,-0.028302181325237215,-0.023753639846788854,-0.45504265588988896
2025-08-04,2025-W32,238047,0.4063147193621427,0.0205951076280473,-0.029404892371952703,-0.029349348414220065,-0.028395301252261772,-0.02402992726511653,-0.470271900689076
2025-08-11,2025-W33,198122,0.4223912538738757,0.0180438549321861,-0.0319561450678139,-0.028245158307404865,-0.02794382190148861,-0.024752094592681403,-0.6743578937144719
2025-08-18,2025-W34,115969,0.4321585941070458,0.0186363908454217,-0.0313636091545783,-0.030424472384287863,-0.030152774834094596,-0.024880412605450535,-0.6046582440925766
2025-08-25,2025-W35,84879,0.3856548734080279,0.0261196309647461,-0.023880369035253902,-0.029151253907399685,-0.03073195153420382,-0.02523284325511977,0.13042460093011682
2025-09-01,2025-W36,145782,0.4222606357437818,0.0204197667240651,-0.029580233275934904,-0.029195089133395236,-0.03113856245819148,-0.025293067969916275,-0.41278077487051434
2025-09-08,2025-W37,150530,0.442097920680263,0.0179416670423297,-0.0320583329576703,-0.029220636105859336,-0.032502241444728644,-0.025659225937566452,-0.6224867050895496
2025-09-15,2025-W38,206483,0.4804172740613028,0.0137099538297143,-0.0362900461702857,-0.03045224535978619,-0.032573113852718764,-0.026289991437380904,-1.010930525451896
2025-09-22,2025-W39,160416,0.448309395571514,0.0286167195060904,-0.021383280493909602,-0.029827973224450115,-0.03118528504146238,-0.026087584881692827,0.4760289951945738
2025-09-29,2025-W40,251588,0.4060607024182393,0.0257145653876272,-0.024285434612372803,-0.028504273558559588,-0.02992298026780402,-0.026054481677667288,0.17895284182756024
2025-10-06,2025-W41,270733,0.3635094354954882,0.0264799723616558,-0.023520027638344203,-0.026369697228728062,-0.028593451697157227,-0.02641467265382075,0.30708790823068527
2025-10-13,2025-W42,325150,0.3786621559280332,0.0297915888305907,-0.0202084111694093,-0.022349288478508963,-0.027350029056721424,-0.026383286914515938,0.6538175589080535
2025-10-20,2025-W43,408895,0.3533058609178395,0.0341674454020004,-0.0158325545979996,-0.020961607004531462,-0.02682589072987168,-0.0264255342557741,1.1279973452830643
2025-10-27,2025-W44,462147,0.3177105985757778,0.0346116911509306,-0.015388308849069401,-0.018737325563705613,-0.025780895799584203,-0.0263555764901374,1.1592746272181444
2025-11-03,2025-W45,488734,0.3112408794968224,0.040108076837109,-0.009891923162891003,-0.015330299444842313,-0.024279898168117917,-0.02600614470905934,1.6564837413401003
2025-11-10,2025-W46,531627,0.2903520701544504,0.0398616212854449,-0.010138378714555106,-0.012812791331128764,-0.022601608448636474,-0.025772509422818096,1.569360142917755
2025-11-17,2025-W47,580366,0.2649086955472925,0.0197926423144968,-0.030207357685503203,-0.016406492103004666,-0.02251266602793839,-0.02568184554417325,-0.4571937909163148
2025-11-24,2025-W48,458204,0.2908180635699383,0.0358713434493523,-0.014128656550647704,-0.01609157902839924,-0.021762534298353294,-0.025387685980954217,1.1245899578793919
2025-12-01,2025-W49,472118,0.2815037765982233,0.0538212079486542,0.003821207948654197,-0.012663296250512941,-0.019193192665692593,-0.024755366012899977,2.649955136407495
2025-12-08,2025-W50,396387,0.2979941319972653,0.0321957992228308,-0.017804200777169203,-0.014579751766166466,-0.018096720959500205,-0.02450520369931628,0.6209573721872729
2025-12-15,2025-W51,445967,0.3144380638029271,0.0393784452574004,-0.010621554742599605,-0.009683301030440565,-0.016122221618908965,-0.024214399340169574,1.2402433114197264
2025-12-22,2025-W52,411595,0.308961479123896,0.0565319619083567,0.006531961908356698,-0.004518146415689464,-0.013974895280273096,-0.02391763029762976,2.6307847499542243
2025-12-29,2026-W01,451798,0.266468643066149,0.0498463327518896,-0.00015366724811040344,-0.0055118652148806145,-0.012118605483022142,-0.023515911363233846,1.9420597752518465
2026-01-05,2026-W02,539384,0.2581685774883941,0.0473242754143567,-0.002675724585643302,-0.0017297461669991392,-0.010515197555891306,-0.023276806431001648,1.6721585526806682
2026-01-12,2026-W03,503277,0.2843801723504153,0.0376112687078157,-0.012388731292184305,-0.002171540304395314,-0.00991368371918169,-0.023021108425310157,0.8569821751550605
2026-01-19,2026-W04,685976,0.3092586329550888,0.0443708047364054,-0.005629195263594601,-0.005211829597383139,-0.009128809924227458,-0.02274024949049813,1.3543312689553964
2026-01-26,2026-W05,525158,0.2810887390080699,0.0621138629958812,0.0121138629958812,-0.002144947036385238,-0.007013258243846641,-0.02218751304546823,2.5397846395763772
